order_id,order_date,customer_id,region,state,segment,category,product,sales_channel,payment_method,quantity,unit_price,discount,gross_sales,discount_amount,sales,cost,profit,profit_margin,shipping_cost,delivery_days,customer_rating
ORD00019,2022-12-10,CUST0179,Central,Madhya Pradesh,Consumer,Clothing,Jeans,Online,Credit Card,7,1186.95,0.0,8308.65,0.0,8308.65,4985.25,3323.4,0.4,201.18,1,3.5
ORD00020,2025-12-08,CUST0748,North,Haryana,Consumer,Home Appliances,Blender,Online,Net Banking,5,1159.82,0.15,5799.1,869.86,4929.23,3899.08,1030.15,0.209,246.79,1,4.5
ORD00021,2024-03-16,CUST0699,Central,Madhya Pradesh,Small Business,Clothing,Jeans,Online,Credit Card,5,697.26,0.05,3486.3,174.32,3311.98,2689.82,622.16,0.1879,272.12,10,4.0
ORD00022,2023-01-21,CUST0205,West,Gujarat,Corporate,Home Appliances,Microwave,Online,Cash,4,1097.4,0.15,4389.6,658.44,3731.16,2936.48,794.68,0.213,269.19,10,4.1
ORD00023,2025-04-30,CUST0401,North,Delhi,Consumer,Clothing,Shoes,Store,UPI,9,590.0,0.15,5310.0,796.5,4513.5,3307.61,1205.89,0.2672,195.48,1,4.7
ORD00024,2024-08-13,CUST0115,Central,Madhya Pradesh,Small Business,Furniture,Office Chair,Partner,Credit Card,6,164.55,0.0,987.3,0.0,987.3,741.22,246.08,0.2492,166.8,6,2.7
ORD00025,2022-10-04,CUST0766,South,Karnataka,Consumer,Clothing,Jacket,Partner,UPI,10,599.16,0.05,5991.6,299.58,5692.02,4206.2,1485.82,0.261,244.34,10,4.5
ORD00026,2025-03-30,CUST0068,North,Delhi,Consumer,Electronics,Monitor,Online,Credit Card,6,250.61,0.05,1503.66,75.18,1428.48,963.28,465.2,0.3257,105.9,4,4.4
ORD00027,2023-04-05,CUST0223,West,Maharashtra,Small Business,Clothing,Shoes,Online,Cash,6,595.41,0.1,3572.46,357.25,3215.21,2006.59,1208.62,0.3759,232.22,4,3.5
ORD00028,2025-08-30,CUST0422,West,Gujarat,Small Business,Home Appliances,Air Cooler,Store,Net Banking,6,456.68,0.15,2740.08,411.01,2329.07,1460.21,868.86,0.373,161.71,4,4.0
ORD00029,2022-01-22,CUST0832,West,Maharashtra,Consumer,Office Supplies,Stapler,Store,Credit Card,1,904.75,0.0,904.75,0.0,904.75,676.22,228.53,0.2526,54.62,8,4.5
ORD00030,2022-09-10,CUST0387,North,Delhi,Consumer,Clothing,Jeans,Online,Cash,6,551.89,0.05,3311.34,165.57,3145.77,2261.9,883.87,0.281,230.8,7,3.4
ORD00031,2024-01-18,CUST0310,East,Odisha,Consumer,Clothing,T-Shirt,Store,UPI,4,1062.8,0.05,4251.2,212.56,4038.64,2859.03,1179.61,0.2921,201.57,5,3.9
ORD00032,2024-05-06,CUST0844,West,Goa,Consumer,Clothing,Jacket,Store,Credit Card,2,775.54,0.0,1551.08,0.0,1551.08,1126.4,424.68,0.2738,43.08,7,4.7
ORD00033,2023-04-20,CUST0684,South,Andhra Pradesh,Consumer,Home Appliances,Microwave,Online,UPI,6,1380.45,0.1,8282.7,828.27,7454.43,5659.35,1795.08,0.2408,146.1,8,3.2
ORD00034,2024-12-18,CUST0210,South,Karnataka,Consumer,Clothing,T-Shirt,Online,UPI,1,150.17,0.1,150.17,15.02,135.15,101.64,33.51,0.2479,156.22,10,4.2
ORD00035,2023-05-26,CUST0639,North,Haryana,Small Business,Home Appliances,Microwave,Partner,Credit Card,1,1036.25,0.05,1036.25,51.81,984.44,569.45,414.98,0.4215,202.98,8,4.2
ORD00036,2023-12-01,CUST0670,North,Delhi,Small Business,Home Appliances,Air Cooler,Store,Net Banking,5,1013.51,0.1,5067.55,506.76,4560.8,2955.48,1605.31,0.352,209.98,7,4.1
ORD00037,2024-09-02,CUST0878,Central,Chhattisgarh,Consumer,Office Supplies,Stapler,Online,Credit Card,6,1426.68,0.05,8560.08,428.0,8132.08,5052.22,3079.85,0.3787,73.35,7,3.3
ORD00038,2022-07-09,CUST0971,South,Telangana,Corporate,Electronics,Monitor,Store,UPI,2,566.75,0.05,1133.5,56.68,1076.82,748.74,328.08,0.3047,29.44,9,4.0
ORD00039,2024-08-15,CUST0600,Central,Chhattisgarh,Consumer,Home Appliances,Vacuum Cleaner,Store,Credit Card,10,468.58,0.05,4685.8,234.29,4451.51,2522.15,1929.36,0.4334,242.34,5,4.0
ORD00040,2023-11-18,CUST0981,South,Tamil Nadu,Consumer,Furniture,Bookshelf,Partner,Cash,8,271.0,0.1,2168.0,216.8,1951.2,1474.84,476.36,0.2441,294.85,8,3.9
ORD00041,2024-08-15,CUST0369,West,Maharashtra,Consumer,Clothing,T-Shirt,Online,Net Banking,4,408.95,0.1,1635.8,163.58,1472.22,852.07,620.15,0.4212,283.39,2,4.5
ORD00042,2023-07-17,CUST0566,South,Telangana,Corporate,Furniture,Sofa,Partner,Credit Card,4,760.31,0.0,3041.24,0.0,3041.24,1895.54,1145.7,0.3767,160.22,8,4.0
ORD00043,2025-06-21,CUST0560,South,Telangana,Consumer,Clothing,Jeans,Online,Debit Card,10,1259.0,,12590.0,0.0,12590.0,9585.27,3004.73,0.2387,168.1,1,4.1
ORD00044,2024-04-11,CUST0803,North,Uttar Pradesh,Small Business,Office Supplies,Notebook,Store,Credit Card,5,437.17,0.0,2185.85,0.0,2185.85,1232.65,953.2,0.4361,280.56,9,3.2
ORD00045,2025-02-28,CUST0836,South,Karnataka,Corporate,Home Appliances,Coffee Maker,Store,Net Banking,10,249.25,0.0,2492.5,0.0,2492.5,1815.17,677.33,0.2717,172.36,1,3.5
ORD00046,2023-10-09,CUST0538,East,Jharkhand,Consumer,Electronics,Laptop,Online,Credit Card,4,419.11,0.1,1676.44,167.64,1508.8,1206.45,302.35,0.2004,97.75,8,3.6
ORD00047,2022-01-21,CUST0328,Central,Chhattisgarh,Consumer,Home Appliances,Air Cooler,Online,Net Banking,5,164.88,0.05,824.4,41.22,783.18,561.35,221.83,0.2832,209.73,3,3.7
ORD00048,2024-04-20,CUST0088,West,Maharashtra,Corporate,Clothing,Backpack,Partner,Cash,10,1391.14,0.1,13911.4,1391.14,12520.26,9295.26,3225.0,0.2576,153.62,4,4.0
ORD00049,2022-06-16,CUST0107,North,Uttar Pradesh,Small Business,Electronics,Laptop,Store,UPI,3,1310.85,0.05,3932.55,196.63,3735.92,2853.92,882.01,0.2361,239.8,10,3.5
ORD00050,2025-07-21,CUST0237,North,Uttar Pradesh,Corporate,Home Appliances,Air Cooler,Online,Credit Card,8,473.11,0.1,3784.88,378.49,3406.39,2077.92,1328.47,0.39,239.33,7,3.3
ORD00051,2023-01-23,CUST0312,North,Haryana,Consumer,Electronics,Headphones,Online,Debit Card,6,381.78,0.15,2290.68,343.6,1947.08,1376.31,570.77,0.2931,282.07,10,4.1
ORD00052,2023-08-24,CUST0204,East,West Bengal,Corporate,Clothing,Jeans,Online,UPI,8,1359.52,0.1,10876.16,1087.62,9788.54,6200.51,3588.04,0.3666,58.59,3,4.0
ORD00053,2022-11-12,CUST0581,West,Gujarat,Consumer,Office Supplies,Notebook,Online,UPI,5,17.63,0.0,88.15,0.0,88.15,54.42,33.73,0.3826,165.97,9,4.2
ORD00054,2022-01-14,CUST0592,Central,Madhya Pradesh,Small Business,Office Supplies,Stapler,Partner,UPI,7,906.86,0.0,6348.02,0.0,6348.02,3821.27,2526.75,0.398,240.04,3,5.0
ORD00055,2022-08-30,CUST0960,North,Uttar Pradesh,Corporate,Home Appliances,Vacuum Cleaner,Store,UPI,10,1375.27,0.05,13752.7,687.64,13065.06,9250.93,3814.13,0.2919,141.76,8,3.2
ORD00056,2024-02-16,CUST0864,East,Jharkhand,Corporate,Furniture,Sofa,Partner,Debit Card,7,770.21,0.1,5391.47,539.15,4852.32,3709.72,1142.61,0.2355,195.53,8,4.0
ORD00057,2025-10-01,CUST0669,East,Odisha,Consumer,Clothing,Jeans,Online,Net Banking,6,19.41,0.0,116.46,0.0,116.46,91.59,24.87,0.2135,248.77,3,4.0
ORD00058,2023-07-19,CUST0638,West,Rajasthan,Corporate,Home Appliances,Air Cooler,Store,Credit Card,10,340.02,0.05,3400.2,170.01,3230.19,2150.4,1079.79,0.3343,152.54,3,4.1
ORD00059,2024-06-16,CUST0993,East,Jharkhand,Consumer,Home Appliances,Microwave,Online,UPI,4,1384.83,0.2,5539.32,1107.86,4431.46,2883.47,1547.98,0.3493,134.32,10,5.0
ORD00060,2025-09-25,CUST0873,West,Maharashtra,Consumer,Office Supplies,Notebook,Store,Net Banking,6,40.28,0.0,241.68,0.0,241.68,177.77,63.91,0.2644,70.56,5,2.4
ORD00061,2022-04-02,CUST0974,West,Goa,Consumer,Electronics,Tablet,Online,Credit Card,9,601.25,0.2,5411.25,1082.25,4329.0,3293.06,1035.94,0.2393,250.87,8,3.8
ORD00062,2025-10-22,CUST0827,North,Punjab,Small Business,Clothing,T-Shirt,Online,UPI,4,1187.77,0.2,4751.08,950.22,3800.86,2350.44,1450.42,0.3816,242.82,6,4.0
ORD00063,2024-08-13,CUST0537,West,Maharashtra,Corporate,Electronics,Tablet,Store,Net Banking,6,1259.57,0.15,7557.42,1133.61,6423.81,4048.72,2375.08,0.3697,228.08,5,4.3
ORD00064,2025-12-22,CUST0968,North,Delhi,Consumer,Clothing,Jacket,Online,UPI,6,724.25,0.2,4345.5,869.1,3476.4,2412.68,1063.72,0.306,130.13,5,4.4
ORD00065,2023-05-24,CUST0027,West,Goa,Small Business,Furniture,Desk,Store,Credit Card,3,360.24,0.0,1080.72,0.0,1080.72,724.07,356.65,0.33,183.29,6,3.0
ORD00066,2024-02-15,CUST0355,South,Telangana,Consumer,Office Supplies,Pens,Store,Credit Card,4,905.56,0.0,3622.24,0.0,3622.24,2682.5,939.74,0.2594,54.72,8,3.9
ORD00067,2022-02-04,CUST0534,East,Jharkhand,Consumer,Furniture,Cabinet,Store,Debit Card,3,406.71,0.0,1220.13,0.0,1220.13,837.27,382.86,0.3138,109.47,6,3.4
ORD00068,2022-07-25,CUST0967,Central,Chhattisgarh,Consumer,Home Appliances,Air Cooler,Partner,Credit Card,3,394.07,0.0,1182.21,0.0,1182.21,685.84,496.37,0.4199,141.95,7,4.2
ORD00069,2025-01-09,CUST0740,Central,Madhya Pradesh,Corporate,Office Supplies,Stapler,Online,Cash,10,1214.29,0.05,12142.9,607.14,11535.76,6861.55,4674.2,0.4052,32.19,9,4.1
ORD00070,2025-11-12,CUST0815,West,Gujarat,Consumer,Home Appliances,Vacuum Cleaner,Online,UPI,4,244.08,0.15,976.32,146.45,829.87,658.52,171.36,0.2065,49.0,7,3.6
ORD00071,2024-10-22,CUST0204,East,Odisha,Consumer,Furniture,Sofa,Store,Debit Card,4,23.2,0.05,92.8,4.64,88.16,53.9,34.26,0.3886,252.32,9,5.0
ORD00072,2024-10-18,CUST0890,West,Gujarat,Corporate,Clothing,Backpack,Store,Cash,6,515.11,0.05,3090.66,154.53,2936.13,1654.58,1281.55,0.4365,291.94,10,3.8
ORD00073,2025-11-14,CUST0311,East,Jharkhand,Consumer,Home Appliances,Blender,Online,UPI,4,744.1,0.15,2976.4,446.46,2529.94,1891.11,638.83,0.2525,110.16,1,3.8
ORD00074,2023-07-20,CUST0265,Central,Chhattisgarh,Corporate,Electronics,Laptop,Store,Debit Card,6,1062.04,0.0,6372.24,0.0,6372.24,4681.58,1690.66,0.2653,49.89,3,3.5
ORD00075,2025-02-03,CUST0054,South,Karnataka,Consumer,Clothing,Backpack,Online,,2,1174.96,0.05,2349.92,117.5,2232.42,1589.53,642.89,0.288,281.91,6,2.2
ORD00076,2023-12-04,CUST0882,Central,Chhattisgarh,Corporate,Clothing,Backpack,Online,Credit Card,4,1000.33,0.05,4001.32,200.07,3801.25,2606.17,1195.08,0.3144,276.01,3,4.0
ORD00077,2023-02-06,CUST0832,Central,Chhattisgarh,Corporate,Furniture,Office Chair,Online,Cash,2,945.37,0.15,1890.74,283.61,1607.13,1304.65,302.48,0.1882,203.3,2,3.5
ORD00078,2023-12-31,CUST0374,West,Rajasthan,Corporate,Furniture,Office Chair,Online,UPI,8,1003.64,0.1,8029.12,802.91,7226.21,4208.22,3017.99,0.4176,114.81,5,4.1
ORD00079,2022-06-11,CUST0877,South,Karnataka,Consumer,Office Supplies,Printer Paper,Online,Net Banking,9,418.22,0.1,3763.98,376.4,3387.58,2329.79,1057.79,0.3123,51.52,1,5.0
ORD00080,2022-07-21,CUST0611,North,Haryana,Corporate,Office Supplies,Printer Paper,Online,Debit Card,7,582.81,0.0,4079.67,0.0,4079.67,2865.12,1214.55,0.2977,283.06,5,4.1
ORD00081,2024-09-22,CUST0423,Central,Chhattisgarh,Consumer,Electronics,Smartphone,Online,Net Banking,6,930.41,0.2,5582.46,1116.49,4465.97,2483.4,1982.56,0.4439,277.71,8,4.1
ORD00082,2022-09-27,CUST0595,North,Uttar Pradesh,Small Business,Clothing,Shoes,Online,Credit Card,8,112.37,0.05,898.96,44.95,854.01,564.71,289.31,0.3388,228.1,9,4.6
ORD00083,2024-03-26,CUST0220,Central,Madhya Pradesh,Consumer,Electronics,Tablet,Online,Cash,4,453.56,0.15,1814.24,272.14,1542.1,1174.09,368.01,0.2386,281.49,10,4.8
ORD00084,2025-07-18,CUST0477,East,Jharkhand,Consumer,Electronics,Laptop,Store,Cash,10,618.53,0.25,6185.3,1546.32,4638.97,3141.5,1497.48,0.3228,59.13,6,4.1
ORD00085,2023-04-01,CUST0520,South,Telangana,Corporate,Furniture,Cabinet,Online,Debit Card,2,807.16,0.1,1614.32,161.43,1452.89,1142.44,310.45,0.2137,50.59,4,4.1
ORD00086,2025-06-29,CUST0363,Central,Chhattisgarh,Corporate,Electronics,Tablet,Online,Net Banking,4,737.43,0.1,2949.72,294.97,2654.75,1922.29,732.46,0.2759,73.77,3,3.7
ORD00087,2024-10-13,CUST0923,West,Rajasthan,Consumer,Electronics,Smartphone,Online,Net Banking,5,1081.43,0.0,5407.15,0.0,5407.15,4092.36,1314.79,0.2432,80.34,8,4.3
ORD00088,2022-10-23,CUST0453,East,Jharkhand,Small Business,Home Appliances,Blender,Online,Cash,9,718.04,0.05,6462.36,323.12,6139.24,4710.09,1429.16,0.2328,251.61,2,4.4
ORD00089,2023-12-21,CUST0624,East,Jharkhand,Small Business,Office Supplies,File Folder,Online,Debit Card,5,1357.63,0.2,6788.15,1357.63,5430.52,3997.76,1432.76,0.2638,278.09,8,4.0
ORD00090,2022-12-04,CUST0989,South,Telangana,Corporate,Office Supplies,Printer Paper,Online,UPI,9,579.77,0.0,5217.93,0.0,5217.93,3925.62,1292.31,0.2477,80.37,7,3.3
ORD00091,2024-05-28,CUST0995,West,Gujarat,Consumer,Clothing,Shoes,Store,Net Banking,9,795.18,0.2,7156.62,1431.32,5725.3,4223.74,1501.55,0.2623,149.55,2,4.1
ORD00092,2024-12-12,CUST0253,South,Karnataka,Corporate,Office Supplies,Notebook,Store,Net Banking,8,19.77,0.15,158.16,23.72,134.44,93.92,40.52,0.3014,147.26,2,4.5
ORD00093,2024-03-02,CUST0929,Central,Madhya Pradesh,Consumer,Clothing,Backpack,Partner,Debit Card,5,476.06,0.1,2380.3,238.03,2142.27,1505.94,636.33,0.297,69.8,2,3.4
ORD00094,2022-08-05,CUST0736,Central,Madhya Pradesh,Consumer,Home Appliances,Microwave,Online,Net Banking,2,1301.86,0.1,2603.72,260.37,2343.35,1408.98,934.37,0.3987,258.94,1,4.2
ORD00095,2024-02-03,CUST0213,South,Karnataka,Small Business,Office Supplies,Stapler,Online,Credit Card,5,510.36,0.0,2551.8,0.0,2551.8,1973.58,578.22,0.2266,166.3,7,4.5
ORD00096,2022-07-07,CUST0650,West,Goa,Small Business,Home Appliances,Blender,Online,Net Banking,1,390.98,0.05,390.98,19.55,371.43,235.59,135.84,0.3657,178.55,8,4.2
ORD00097,2023-01-15,CUST0874,East,Jharkhand,Small Business,Office Supplies,Pens,Store,Credit Card,8,822.15,0.05,6577.2,328.86,6248.34,4340.4,1907.94,0.3054,92.36,7,5.0
ORD00098,2023-05-08,CUST0144,South,Karnataka,Consumer,Office Supplies,Stapler,Online,Debit Card,2,131.91,0.05,263.82,13.19,250.63,154.73,95.9,0.3826,176.56,4,3.6
ORD00099,2024-11-30,CUST0011,Central,Madhya Pradesh,Consumer,Home Appliances,Vacuum Cleaner,Online,UPI,7,804.43,0.2,5631.01,1126.2,4504.81,3324.02,1180.78,0.2621,241.91,9,3.4
ORD00100,2025-03-26,CUST0531,North,Uttar Pradesh,Consumer,Electronics,Laptop,Online,Debit Card,2,465.94,0.05,931.88,46.59,885.29,720.0,165.29,0.1867,105.38,2,3.4
ORD00101,2022-01-15,CUST0448,South,Karnataka,Consumer,Electronics,Tablet,Store,UPI,5,583.91,0.1,2919.55,291.96,2627.6,2014.11,613.48,0.2335,51.72,5,3.7
ORD00102,2022-03-06,CUST0052,East,West Bengal,Consumer,Electronics,Smartphone,Partner,UPI,10,1190.18,0.0,11901.8,0.0,11901.8,8535.44,3366.36,0.2828,183.53,2,3.6
ORD00103,2023-06-05,CUST0205,East,Odisha,Consumer,Electronics,Headphones,Partner,Debit Card,7,998.02,0.15,6986.14,1047.92,5938.22,4175.91,1762.3,0.2968,198.03,3,4.5
ORD00104,2025-09-29,CUST0655,East,Bihar,Corporate,Office Supplies,Printer Paper,Online,Credit Card,6,677.47,0.1,4064.82,406.48,3658.34,2495.86,1162.48,0.3178,76.58,2,2.9
ORD00105,2025-02-26,CUST0554,West,Maharashtra,Corporate,Furniture,Bookshelf,Online,Net Banking,5,872.61,0.1,4363.05,436.31,3926.74,2377.02,1549.72,0.3947,89.53,8,3.6
ORD00106,2023-10-10,CUST0356,West,Rajasthan,Corporate,Home Appliances,Vacuum Cleaner,Store,Debit Card,6,1153.79,0.2,6922.74,1384.55,5538.19,3566.39,1971.8,0.356,62.86,10,4.6
ORD00107,2024-12-22,CUST0608,West,Goa,Small Business,Furniture,Cabinet,Online,UPI,2,1122.49,0.2,2244.98,449.0,1795.98,1184.86,611.13,0.3403,277.99,6,3.9
ORD00108,2025-03-08,CUST0339,North,Haryana,Consumer,Furniture,Bookshelf,Online,UPI,10,290.2,0.15,2902.0,435.3,2466.7,1985.78,480.92,0.195,79.64,5,3.3
ORD00109,2023-08-16,CUST0847,South,Tamil Nadu,Consumer,Clothing,Backpack,Store,Cash,1,461.87,0.2,461.87,92.37,369.5,245.68,123.82,0.3351,22.98,5,3.7
ORD00110,2023-01-27,CUST0678,South,Tamil Nadu,Corporate,Electronics,Headphones,Store,UPI,1,532.13,0.1,532.13,53.21,478.92,339.2,139.71,0.2917,255.24,9,4.8
ORD00111,2023-02-23,CUST0896,South,Telangana,Consumer,Office Supplies,File Folder,Partner,Credit Card,8,293.5,0.15,2348.0,352.2,1995.8,1594.75,401.05,0.2009,244.9,2,3.9
ORD00112,2022-10-16,CUST0598,East,Jharkhand,Corporate,Electronics,Monitor,Store,Net Banking,3,33.06,0.1,99.18,9.92,89.26,61.59,27.67,0.31,147.83,1,4.2
ORD00113,2023-01-14,CUST0817,North,Delhi,Consumer,Electronics,Laptop,Online,Cash,3,273.34,,820.02,0.0,820.02,506.68,313.34,0.3821,243.21,6,3.9
ORD00114,2022-08-19,CUST0333,South,Telangana,Consumer,Furniture,Cabinet,Online,UPI,9,1215.24,0.25,10937.16,2734.29,8202.87,5355.42,2847.45,0.3471,145.89,8,5.0
ORD00115,2024-10-14,CUST0596,South,Tamil Nadu,Corporate,Clothing,Jeans,Store,Cash,6,825.69,0.0,4954.14,0.0,4954.14,3227.1,1727.04,0.3486,82.86,8,3.8
ORD00116,2022-02-10,CUST0817,Central,Madhya Pradesh,Small Business,Electronics,Laptop,Store,UPI,4,522.36,0.05,2089.44,104.47,1984.97,1474.78,510.19,0.257,139.3,6,
ORD00117,2024-11-17,CUST0847,Central,Chhattisgarh,Small Business,Home Appliances,Coffee Maker,Store,UPI,4,918.39,0.0,3673.56,0.0,3673.56,2314.17,1359.39,0.37,156.32,3,4.4
ORD00118,2022-05-15,CUST0199,West,Rajasthan,Consumer,Home Appliances,Blender,Partner,Debit Card,7,1113.65,0.05,7795.55,389.78,7405.77,5533.43,1872.34,0.2528,22.52,3,4.4
ORD00119,2022-07-20,CUST0439,Central,Chhattisgarh,Consumer,Electronics,Laptop,Store,UPI,6,541.33,0.05,3247.98,162.4,3085.58,2437.9,647.68,0.2099,51.73,2,3.9
ORD00120,2024-02-19,CUST0150,West,Gujarat,Small Business,Furniture,Cabinet,Online,Credit Card,2,707.12,0.1,1414.24,141.42,1272.82,815.54,457.27,0.3593,264.93,2,4.1
ORD00121,2024-07-18,CUST0939,East,Jharkhand,Consumer,Furniture,Sofa,Store,Credit Card,9,110.36,0.25,993.24,248.31,744.93,436.93,308.0,0.4135,129.88,2,4.4
ORD00122,2024-11-22,CUST0050,North,Haryana,Consumer,Office Supplies,Printer Paper,Store,Credit Card,2,901.68,0.0,1803.36,0.0,1803.36,1302.76,500.6,0.2776,112.81,7,3.7
ORD00123,2024-12-07,CUST0340,West,Goa,Small Business,Clothing,Shoes,Online,Debit Card,8,544.26,0.15,4354.08,653.11,3700.97,2396.12,1304.85,0.3526,268.74,10,4.5
ORD00124,2023-05-18,CUST0636,West,Maharashtra,Corporate,Furniture,Bookshelf,Online,Debit Card,4,658.78,0.0,2635.12,0.0,2635.12,1829.24,805.88,0.3058,63.28,9,4.1
ORD00125,2023-02-11,CUST0531,West,Rajasthan,Small Business,Office Supplies,File Folder,Store,UPI,10,642.56,0.0,6425.6,0.0,6425.6,4634.3,1791.3,0.2788,80.76,10,4.2
ORD00126,2024-03-15,CUST0859,West,Rajasthan,Consumer,Home Appliances,Coffee Maker,Online,Debit Card,1,954.13,0.1,954.13,95.41,858.72,566.83,291.89,0.3399,251.83,7,3.7
ORD00127,2022-04-09,CUST0584,East,Odisha,Consumer,Home Appliances,Blender,Store,Cash,1,865.11,0.2,865.11,173.02,692.09,553.44,138.65,0.2003,98.3,8,4.0
ORD00128,2023-11-15,CUST0146,West,Gujarat,Small Business,Home Appliances,Coffee Maker,Online,Debit Card,9,641.83,0.0,5776.47,0.0,5776.47,3800.32,1976.15,0.3421,197.31,5,3.5
ORD00129,2023-12-27,CUST0778,Central,Chhattisgarh,Consumer,Electronics,Monitor,Partner,Debit Card,4,40.18,0.05,160.72,8.04,152.68,96.65,56.04,0.367,227.08,2,3.7
ORD00130,2024-08-18,CUST0050,South,Telangana,Corporate,Clothing,Backpack,Online,Credit Card,1,937.13,0.0,937.13,0.0,937.13,739.52,197.61,0.2109,82.36,8,4.7
ORD00131,2023-09-05,CUST0561,West,Rajasthan,Consumer,Office Supplies,Notebook,Online,Debit Card,3,1321.17,0.2,3963.51,792.7,3170.81,1860.63,1310.17,0.4132,90.95,5,3.4
ORD00132,2023-10-05,CUST0937,East,Odisha,Small Business,Clothing,Shoes,Online,Credit Card,3,1157.78,,3473.34,173.67,3299.67,1925.48,1374.19,0.4165,164.56,9,3.6
ORD00133,2024-10-25,CUST0611,West,Rajasthan,Corporate,Electronics,Monitor,Online,UPI,7,1472.7,0.1,10308.9,1030.89,9278.01,7446.89,1831.12,0.1974,241.82,6,3.5
ORD00134,2025-05-26,CUST0399,West,Maharashtra,Consumer,Office Supplies,Pens,Online,Net Banking,6,221.53,0.2,1329.18,265.84,1063.34,644.83,418.51,0.3936,175.23,7,4.2
ORD00135,2023-05-18,CUST0376,North,Haryana,Consumer,Office Supplies,Stapler,Online,Credit Card,8,345.44,0.1,2763.52,276.35,2487.17,1467.62,1019.54,0.4099,38.85,1,4.8
ORD00136,2024-02-06,CUST0023,West,Maharashtra,Corporate,Furniture,Sofa,Store,Debit Card,7,815.81,0.2,5710.67,1142.13,4568.54,3172.83,1395.71,0.3055,118.23,8,3.9
